product_id,asins,brand,categories,dateAdded,dateUpdated,ean,keys,manufacturer,manufacturerNumber,name,upc,weight,text_reviews_count,ratings_count,avarage_rate,id
AVpf3txeLJeJML43FN82,B0168YIWSI,Microsoft,"Electronics,Computers,Computer Accessories,Keyboards, Mice & Joysticks,Keyboards,All Keyboards,Computers & Accessories,Computer Accessories & Peripherals,Keyboards, Mice & Accessories,Computers & Tablets,iPad & Tablet Accessories,Tablet Cases, Covers & Keyboard Folios,Computer Peripherals,Keyboards Accessories,Computers Features,Cases, Covers & Keyboard Folios,Name Brands,Microsoft,Microsoft Surface,Microsoft Surface Accessories,Microsoft Surface Cases & Covers,Microsoft Surface Tablets,Frys,Tablets,Cases",2015-11-13T12:28:09Z,2018-01-29T02:15:13Z,8.90E+11,"microsoftsurfacepro4typecoverwithfingerprintid/4562009,microsoftsurfacepro4typecoverwithfingerprintid/554687153,889842011050,0889842011050,microsoftsurfacepro4typecoverwithfingerprintid/mirh700001,microsoftsurfacepro4typecoverwithfingerprintid/n82e16834735100,microsoftsurfacepro4typecoverwithfingerprintid/b0168yiwsi,microsoft/rh700001",Microsoft,RH7-00001,Microsoft Surface Pro 4 Type Cover with Fingerprint ID,8.90E+11,17.6,17,17,4.5,123
AVpgMuGwLJeJML43KY_c,"B018K251JE,B00VILQKQ8",Boytone,"Electronics,Portable Audio & Video,Home Audio & Theater,Home Audio,All Home Speakers,Speaker Systems,Consumer Electronics,TV, Video & Home Audio,Home Theater Systems,See more Black BOYTONE Bt-210f 30 Watt FM Radio Bluetoo...,Audio,Stereos,Speakers,Cell,MP3 Player Accessories,Portable Bluetooth Speakers,See more BOYTONE Bt-210f Bluetooth Wireless Speaker Mp3...",2015-05-18T14:14:56Z,2018-02-12T16:29:05Z,,"boytone2500w21chhometheatersystemblackdiamond/b018k251je,boytone2500w21chhometheatersystemblackdiamond/4784804,boytone2500w21chhometheatersystemblackdiamond/b00vilqkq8,boytone/bt210f,boytone2500w21chhometheatersystemblackdiamond/554725012,642014746682",Boytone,BT-210F,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,6.42E+11,232.8,149,149,4.6,654
AVphzgbJLJeJML43fA0o,B00C78VIUE,Sanus,"Audio & Video Accessories,TV Mounts,TV Accessories & Parts,Electronics,A/V Presentation,Accessories & Supplies,TV Ceiling & Wall Mounts",2015-04-13T12:00:51Z,2018-05-12T18:59:48Z,,"sanusvlf410b110inchsuperslimfullmotionmountfor3784inchestvs/savlf410b1,sanusvlf410b110inchsuperslimfullmotionmountfor3784inchestvs/b00c78viue,sanusvlf410b110inchsuperslimfullmotionmountfor3784inchestvs/5689019,sanus/vlf410b1,793795525420",,VLF410B1,Sanus VLF410B1 10-Inch Super Slim Full-Motion Mount for 37 - 84 Inches TV's,7.94E+11,524.8,114,114,4.8,456
AWIm0C3TYSSHbkXwx3S6,B075WKS4D8,Ultimate Ears,"Portable Bluetooth Speakers,Bluetooth & Wireless Speakers,Portable Audio & Video,Electronics,Portable Speakers & Docks,Audio,All Bluetooth & Wireless Speakers",2018-03-14T20:42:16Z,2018-05-29T17:19:12Z,,"ultimateearsmegablastsmartportablewifibluetoothspeakerwithamazonalexavoiceassistantgraphite/6172046,ultimateears984000911megablastportablewifibluetoothspeakerwithhandsfreeamazonalexavoicecontrolwaterproofgraphiteblack/b075wks4d8,ultimateearsmegablastsmartportablewifibluetoothspeakerwithamazonalexavoiceassistantgraphite/6172043,ultimateearsmegablastportablewifibluetoothspeakerwithhandsfreeamazonalexavoicecontrolwaterproofgraphiteblack/b075wks4d8,ultimateears/984000911,097855134431,ultimateearsmegablastsmartportablewifibluetoothspeakerwithamazonalexavoiceassistantgraphite/6019903,ultimateearsmegablastsmartportablewifibluetoothspeakerwithamazonalexavoiceassistantgraphite/6019902",,984-000911,Ultimate Ears MEGABLAST Portable Wi-Fi/Bluetooth Speaker with hands-free Amazon Alexa voice control (waterproof) - Graphite Black,97855134431,60.8,6,6,5,789
AVpfnp8HLJeJML43AmVi,B000YA33DC,Lowepro,"Photography,Photography Bags Cases,Camera Bags,Backpacks,Backpacks ffvzrevebzuqvcddwzzxeuwva,Cameras & Camcorders,Digital Camera Accessories,Camera Bags, Cases & Straps,Camera Backpacks,Electronics,Camera Accessories,Camera Bags & Cases,Computers Features,Bag & Case Accessories,Camera & Photo Features,Camera & Photo,Bags & Cases,Camera Cases,Outdoor Recreation,Hiking Daypacks,Backpacking Packs",2015-08-18T18:38:58Z,2018-01-29T07:34:55Z,56035351853,"flipside300backpackblack/1446571,056035351853,0056035351853,lowepro/lp35185,flipside300backpackblack/555140249,flipside300backpackblack/lofs300b,flipside300backpackblack/301763910701,flipside300backpackblack/b000ya33dc",Lowepro,LP35185,Flipside 300 Backpack (Black),56035351853,45.92,340,340,4.4,987
AV1YFmcQglJLPUi8IGd1,B00505EZYW,Corsair,"Computers,Memory (RAM),Computers & Accessories,Computer Components,Memory,Memory Upgrades,Electronics,Computers & Tablets,Computer Cards & Components,Laptop Memory",2017-07-18T23:44:09Z,2018-06-03T04:39:38Z,,"corsaircmsa8gx3m2a1066c7apple8gbdualchannelkitddr31066pc38500204pinddr3laptopsodimmmemory15v/b00505ezyw,corsair8gb2pkx4gb10ghzddr3sodimmlaptopmemorykitgreen/2824528,corsair8gb2pkx4gb10ghzddr3sodimmlaptopmemorykitgreen/b00505ezyw,843591013857,corsair/cmsa8gx3m2a1066c7",,CMSA8GX3M2A1066C7,Corsair CMSA8GX3M2A1066C7 Apple 8 GB Dual Channel Kit DDR3 1066 (PC3 8500) 204-Pin DDR3 Laptop SO-DIMM Memory 1.5V,8.44E+11,0.8,3,3,5,321
AVpgF1BOilAPnD_xnTsK,B00WBS31OQ,"Sdi Technologies, Inc.","Portable Bluetooth Speakers,Stereos,Computers,Bluetooth & Wireless Speakers,Computer Accessories,Speaker Systems,Portable Audio & Video,Electronics,Portable Audio,Portable Wireless & Bluetooth Speakers,Speakers,Home Audio & Theater,Wireless and Bluetooth Speakers,Portable Speakers & Docks,Wireless & Portable Bluetooth Speakers,Audio,Computer Speakers",2016-11-07T00:18:57Z,2018-05-28T23:48:06Z,,"047532907711,ihomerechargeablesplashproofstereobluetoothspeakerwithspeakerphone/4525009,ihome/ibt33bc,sditechnologies/ibt33bc,ihomerechargeablesplashproofstereobluetoothspeakerwithspeakerphone/555013051,ihomerechargeablesplashproofstereobluetoothspeakerblackibt33bc/b00wbs31oq,ihomerechargeablesplashproofstereobluetoothspeakerwithspeakerphone/b00wbs31oq",iHome,IBT33BC,iHome Rechargeable Splash Proof Stereo Bluetooth Speaker - Black (IBT33BC),47532907711,12.5,127,114,4.3,714
AVpiUMISilAPnD_xC-hu,"B0172DS3ME,B00NTJKAXG",Verizon Wireless,"Computers,Networking,Home Networking & Connectivity,Electronics,See more Novatel Jetpack MiFi 6620l Hotspot 4G LTE Veri...,Cell Phones,Cell Phone Accessories,Mobile Broadband,Mobile Broadband Devices,Access Points, Hubs & Switches,Computers/Tablets & Networking,Verizon Hotspots,Mobile Hotspots,Cell Phones & Accessories,Cell",2015-10-20T18:34:01Z,2018-05-16T20:24:20Z,6.49E+11,"verizonmifi6620ljetpack4gltemobilehotspotverizonwireless/b0172ds3me,novatel/mifi6620l,verizonmifi6620ljetpack4gltemobilehotspotverizonwireless/9940096,649496019587,verizonmifi6620ljetpack4gltemobilehotspotverizonwireless/b00ntjkaxg,0649496019587,verizonwireless/mifi6620l",Novatel,Mifi6620L,Verizon MiFi 6620L Jetpack 4G LTE Mobile Hotspot (Verizon Wireless),6.49E+11,14.4,4,4,4.3,147
AVpfIjJULJeJML433Ga2,B00R5WGT2E,JVC,"Electronics,Portable Audio,Auto & Tires,Auto Electronics,Car Receivers,All In-Dash Stereos,Car & Vehicle Electronics,Car Electronics,Car Video,In-Dash DVD & Video Receivers,Car Audio,Car Stereo Receivers,All Car Stereo Receivers,Automotive",2015-07-06T12:03:41Z,2018-02-04T11:21:30Z,,"jvckdx320btsappleipodandroiddigitalmediareceiverwithbluetooth/553496725,jvckdx320btsappleipodandroiddigitalmediareceiverwithbluetooth/b00r5wgt2e,046838070990,jvckdx320btsappleipodandroiddigitalmediareceiverwithbluetooth/1517965,jvckdx320btsappleipodandroiddigitalmediareceiverwithbluetooth/9sia0za2v93665,jvc/kdx320bts",,KDX320BTS,JVC KD-X320BTS Apple iPod and Android Digital Media Receiver with Bluetooth,46838070990,28.8,1,1,5,852
AVphRsH11cnluZ0-Agzr,B00V631478,JBL,"Electronics,Car & Vehicle Electronics,Car Electronics,Car Audio,Speakers,Coaxial Speakers,Car Electronics & GPS,Car Speakers,6\\ x 8\\ Car Speakers",2015-09-20T18:40:52Z,2018-05-02T14:15:10Z,,"050036322355,jbl/gx862,jbl6x82waycoaxialcarspeakerswithpolypropyleneconespairblack/8038064,jbl6x82waycoaxialcarspeakerswithpolypropyleneconespairblack/b00v631478",,GX862,"JBL - 6"" x 8"" 2-Way Coaxial Car Speakers with Polypropylene Cones (Pair) - Black",50036322355,67.2,25,20,4.6,258
AVpf24SVLJeJML43FAIX,B009AEMB6I,Lenovo,"Computers & Tablets,Computer Accessories & Peripherals,Laptop Accessories,Laptop Chargers & Adapters,Computers,Electronics,Computer Accessories",2015-10-16T20:50:30Z,2018-05-02T14:25:38Z,,"887263410049,lenovoidea/45wslimacadapter88801419,lenovoacadapterforselectlenovoyogalaptopsblack/4020023,lenovoacadapterforselectlenovoyogalaptopsblack/554387852,lenovoacadapterforselectlenovoyogalaptopsblack/b009aemb6i,lenovo/45wslimacadapter88801419",Lenovo Idea,45W SLIM AC ADAPTER - 88801419,Lenovo - AC Adapter for Select Lenovo Yoga Laptops - Black,8.87E+11,12.8,39,28,4.5,369
AVzNjwZZ-jtxr-f3yc_y,B06XSGYCHC,Siriusxm,"Satellite Radio,Satellite Radios,Car & Vehicle Electronics,Car Satellite Radios,Frys,Electronics,Car Electronics,Audio,SIRIUS XM Satellite Radio,Car Audio,Car Electronics & GPS",2017-06-22T02:08:41Z,2018-05-28T23:58:54Z,,"siriusxmonyxezrsatelliteradioreceiverwithvehiclekitblack/5792106,siriusxm/sxezr1v1,siriusxmonyxezrsatelliteradioreceiverwithvehiclekitblack/b06xsgychc,siriusxmsxezr1v1xmonyxezrsatelliteradioreceiverwithvehiclekit/b06xsgychc,siriusxmonyxezrsatelliteradioreceiverwithvehiclekitblack/565559502,884720013522",Siriusxm,SXEZR1V1,SiriusXM SXEZR1V1 XM Onyx EZR Satellite Radio Receiver with Vehicle Kit,8.85E+11,20,191,191,4.5,963
AVpf2pgLilAPnD_xjed4,B012ASF1WQ,Pny,"Desktop Memory,Computers/Tablets & Networking,Memory (RAM),Computer Components & Parts,Computers & Accessories,Computer Components,Memory (RAM,Memory,Electronics,Computers & Tablets,Computer Cards & Components",2016-03-11T14:54:02Z,2018-05-28T23:47:33Z,,"751492584669,pnyanarchy16gb2pkx8gb24ghzddr4dimmdesktopmemorykitblue/4842608,pnyanarchy16gb2pkx8gb24ghzddr4dimmdesktopmemorykitblue/302308649204,pnyanarchy16gb2pkx8gb24ghzddr4dimmdesktopmemorykitblue/b012asf1wq,pnyanarchy16gbkit2x8gbddr42400mhzpc419200cl15desktopmemorybluemd16gk2d4240015ab/b012asf1wq,pnyanarchy16gb2pkx8gb24ghzddr4dimmdesktopmemorykitblue/322023560824,pny/md16gk2d4240015ab",,MD16GK2D4240015AB,PNY Anarchy 16GB Kit (2x8GB) DDR4 2400MHz (PC4-19200) CL15 Desktop Memory (BLUE) - MD16GK2D4240015AB,7.51E+11,0.8,507,495,4.6,159
AVpg8i6NilAPnD_xzQdN,"B01LYGPB3J,B011QHAOWO",Sling Media,"TV & Video,Media Streaming Players,New Technology,Frys,Electronics,Streaming Media Players,Television & Video,TVs Entertainment,TV & Home Theater,Internet TV Broadcasters,Streaming Media,All Streaming Media Players",2015-09-30T18:03:06Z,2018-05-28T23:53:50Z,,"slingboxm2/slm2,slingboxm2/b011qhaowo,753960014272,slingbox/sb375100,slingboxm2/8531135,slingboxm2/554328413,slingboxm2/b01lygpb3j,slingmedia/sb375100",Slingbox,SB375-100,Slingbox M2,7.54E+11,28.8,65,66,4.3,753
AVpfKRGKLJeJML433rPX,"B01J0BFAAO,B019Q88VAM",Sony,"Portable Bluetooth Speakers,Audio Docks & Mini Speakers,Used:TV Entertainment,Bluetooth & Wireless Speakers,Portable Audio & Headphones,Used:Portable Audio,Portable Audio & Video,Frys,Electronics,Sony SRS-HG1,Used:Speakers,Home Audio & Theater,Wireless Home Speakers,All Home Speakers,Mobile,iPod, Audio Player Accessories,Consumer Electronics,Mobile Bluetooth Speakers,Audio Speakers,Home Audio,Portable Speakers & Docks,Audio,Mobile Speakers",2016-07-07T19:29:17Z,2018-05-29T17:15:47Z,,"sonyheargoportablebluetoothspeakerwithextrabass/b01j0bfaao,027242895300,sonyheargoportablebluetoothspeakerwithextrabass/1634464,sonyheargoportablebluetoothspeakerwithextrabass/sosrshg1blk,sonyheargoportablebluetoothspeakerwithextrabass/282547374236,sonyheargoportablebluetoothspeakerwithextrabass/192314904788,sonyheargoportablebluetoothspeakerwithextrabass/b019q88vam,sony/srshg1blk,sonyheargoportablebluetoothspeakerwithextrabass/4836819,sonysrshg1blkhireswirelessspeakercharcoalblack/b019q88vam",Sony,SRSHG1/BLK,Sony SRSHG1/BLK Hi-Res Wireless Speaker- Charcoal black,27242895300,40,142,134,4.6,684
AVpgswjcLJeJML43Ro-G,B004OVE61U,Midland,"Electronics,Portable Audio,MP3 Accessories,All Portable Speakers,Audio,Docks, Radios & Boomboxes,Radios,Portable Audio & Video,Shortwave Radios",2015-09-20T20:39:11Z,2018-01-08T19:08:30Z,,"midlandweatheralertradio10ct/5059000,046014740914,midland/wr120c,midlandweatheralertradio10ct/553440159,midlandweatheralertradio10ct/b004ove61u",Midland,WR-120C,"Midland Weather Alert Radio, 1.0 CT",46014740914,22.4,100,100,4.8,486
